MonitoringLocationIdentifier,city_state,Hardness mg/l CaCO3,pH std units,Conductance uS/cm @25C,Ammonia mg/l as N,Nitrites mg/l as N,Fluoride mg/l,Cobalt ug/l,Copper ug/l,Iron ug/l,Arsenic ug/l,Mercury ug/l
USGS-13095500,"WENDELL,ID",,7.8,427,,1.59,,,,,,
USGS-04085108,"GREENLEAF,WI",,,,0.06,1.7,,,,,,
USGS-02335000,"NORCROSS,GA",,,65,,,,,,,,
USGS-254201080173001,na,,,20500,,,,,,,,
USGS-07374525,"BELLE CHASSE,LA",120,7.9,348,0.03,0.84,0.11,,,460,1.1,
USGS-01658500,"INDEPENDENT HILL,VA",12,7.2,50,,0.03,,,,,,
USGS-383854104413601,na,,8.4,1260,0.38,,,,,,,
USGS-254457080160301,na,,,10900,,,,,,,,
USGS-255639080100401,na,,,14800,,,,,,,,
USGS-10038000,"COKEVILLE,WY",,,614,,,,,,,,
USGS-260534080110801,na,,,15000,,,,,,,,
USGS-01545600,"RENOVO,PA",11,7,32,,0.36,0.02,,,,,
USGS-260920080092201,na,,,7690,,,,,,,,
USGS-260224080103401,na,,,4850,,,,,,,,
USGS-343424111512200,na,,,566,,,,,,,,
USGS-06801000,"ASHLAND, N",,8.1,482,0.02,1.86,,,,,,
USGS-12505450,"GRANGER,WA",280,7.4,710,0.03,9.11,0.54,,,,10.8,
USGS-01478185,"WEST GROVE,PA",,6.9,219,,,,,,,,
USGS-03049652,na,51,7.5,166,0.03,,,,,1400,,
USGS-04059500,"HYDE,MI",,7.1,359,,0.145,,,,,,
USGS-373803118585901,na,87.1,7,241,,0.089,0.35,,,,5.2,
USGS-391400121130001,na,175,7.5,388,,,0.19,0.044,1.3,5.8,1.9,
USGS-02336000,"ATLANTA,GA",,,68,,,,,,,,
USGS-09310500,"SCOFIELD,UT",,,437,,,,,,,,
USGS-08042546,na,,8,145,,,,,,,,
USGS-10136500,"GATEWAY,UT",,,738,,,,,,,,
USGS-374949122320102,na,,,,0.07,0.282,,,,,,
USGS-344044111563200,na,,,626,,,,,,,,
USGS-392600121100001,na,54.9,6.2,118,,,0.02,,1.3,37.1,,
USGS-02041650,"MATOACA,VA",20,6.4,61,0.033,0.268,,,,,,
USGS-10068500,"PESCADERO,ID",,,571,,,,,,,,
USGS-10183500,"KINGSTON,UT",,,439,,,,,,,,
USGS-08042558,"ANAHUAC,TX",,8.4,222,0.07,0.07,,,,,,
USGS-01315226,"BOREAS RIVER,NY",,6.01,13,0.038,,,,,,,
USGS-01631000,"FRONT ROYAL,VA",132,8.2,294,,2.69,,,,,,
USGS-371648120364901,na,189,7.8,566,,4.39,0.09,,,,5.4,
USGS-09085000,"GLENWOOD SPRINGS,CO",,8.5,824,,0.26,,,,,,
USGS-254542080145903,na,,,500,,,,,,,,
USGS-02226160,"EVERETT CITY,GA",20.2,6,84,,0.09,0.06,,,450,0.25,
USGS-05114000,"SHERWOOD,ND",737,7.6,2910,0.26,,0.29,1.3,,70,,0.006
USGS-11138500,"SISQUOC,CA",,8.2,1200,,,,,,,,
USGS-06821190,"SHARPS STATION,MO",,8.1,525,0.08,1.18,,,,,,
USGS-12056500,"HOODSPORT,WA",29.2,6.8,65,,0.03,0.03,,,,,
USGS-01447500,"STODDARTSVILLE,PA",15,6.5,73,,,,,,120,,
USGS-01439680,na,11,6.5,43,,0.09,,,,110,,
USGS-09312600,"SOLDIER SUMMIT,UT",,,669,,,,,,,,
USGS-261100080140401,na,,,590,,,,,,,,
USGS-11162765,na,,,,0.5,0.589,,,,,,
USGS-07014200,na,,7.8,411,,0.151,,,,,,
USGS-431755116312500,na,,,,,,,,,,,0.107
USGS-09258980,"BAGGS,WY",633,8.4,3380,,,1.2,,,11.7,0.78,
USGS-413611087201004,na,,,348,,,,,,,,
USGS-01616400,"BUNKER HILL,WV",,8.1,548,,2.77,,,,,,
USGS-255415080114401,na,,,4850,,,,,,,,
USGS-06352000,"HAYNES,ND",915,8,3360,,,0.41,,6.5,,,
USGS-344831112031900,na,,,526,,,,,,,,
USGS-03075001,na,75,7.3,223,0.03,,,,,1300,,
USGS-05116500,"FOXHOLM,ND",910,7.6,2970,0.12,0.19,0.31,,7,,,
USGS-03010958,na,41,7.3,174,0.03,,,,,250,,
USGS-392100121010001,na,20,5.9,71,,,0.07,,5.8,,,
USGS-04177266,"NETTLE LAKE,OH",,,,0.03,1.46,,,,,,
USGS-06896187,na,,7.7,775,0.05,1.63,,,,,,
USGS-04200500,"ELYRIA,OH",,8.3,607,0.04,1.38,,,,,,
USGS-01516350,"MANSFIELD,PA",60,6,173,0.05,,,,4.47,710,,
USGS-04063700,"FENCE,WI",126,7.8,247,0.04,0.19,0.07,,,,,
USGS-260120080093401,na,,,4200,,,,,,,,
USGS-01636500,"MILLVILLE,WV",,8.4,318,,2.08,,,,,,
USGS-01104415,"LEXINGTON,MA",184,,6210,,,,,,,,
USGS-05427910,"WAUNAKEE,WI",,,,0.15,7.43,,,,,,
USGS-410422112200001,na,,8.4,178000,,,,,,,,
USGS-07019280,na,,8.2,330,,0.354,,,,,,
USGS-05553700,na,,8,1360,,,,,,,,
USGS-420007121464200,na,,7.8,474,1.34,0.104,,,,,,
USGS-10137500,"HUNTSVILLE,UT",,,379,,,,,,,,
USGS-01519200,"ELKLAND,PA",70,7.5,191,,,,,,120,,
USGS-401723105400000,AN,6.41,6.8,22,,0.47,,,,,,
USGS-260155080092002,na,,,2100,,,,,,,,
USGS-07103960,"USAF ACADEMY,CO",,7.5,683,0.02,,,,,,,
USGS-01349150,"CANAJOHARIE,NY",203,8,530,,1.08,0.1,,,48.2,0.28,
USGS-260041080093101,na,,,749,,,,,,,,
USGS-09152500,"GRAND JUNCTION,CO",409,8.5,930,,0.846,0.43,,,,,
USGS-10172800,"GRANTSVILLE,UT",,,319,,,,,,,,
USGS-0204306533,"KEMPSVILLE,VA",,,850,,,,,,,,
USGS-10336645,"MEEKS BAY,CA",,,64,,0.004,,,,,,
USGS-01616500,"MARTINSBURG,WV",,8.3,677,,2.44,,,,,,
USGS-344045111562400,na,,,470,,,,,,,,
USGS-01611500,"CACAPON,WV",,7.4,113,,0.892,,,,,,
USGS-11455508,na,,,,0.21,0.46,,,,,,
USGS-05082625,"ARVILLA,ND",446,7.9,984,0.04,0.74,0.26,,,,,
USGS-254855080163701,na,,,470,,,,,,,,
USGS-01658000,"POMONKEY,MD",,6.1,82,,0.18,,,,,,
USGS-10171000,"SALT LAKE CITY,UT",485,7.7,1730,2.45,5.77,0.67,,,37.6,7.1,
USGS-04219768,"BURT,NY",,8.2,865,0.53,3.15,,,,,,
USGS-344318111592400,na,,,609,,,,,,,,
USGS-06317000,"ARVADA,WY",586,8.1,1780,0.07,0.429,0.49,,,,0.54,
USGS-01581752,"BEL AIR,MD",,,601,,3.09,,,,,,
USGS-411228084541702,"HARLAN,IN",,,,0.32,12.1,,,,,,
USGS-260037080100700,na,,,2820,,,,,,,,
USGS-03111585,na,200,8.3,598,,,,,,100,,
USGS-0204309906,"BRIDGE,VA",,,234,,,,,,,,
USGS-03072859,na,75,7.8,159,,0.23,,,,,,
USGS-13095175,"BUHL,ID",,7.5,453,,1.93,,,,,,
USGS-10310487,na,62.7,7.8,280,,,0.06,,,,,
USGS-384833104473900,na,,7.5,1230,,,,,,,,
USGS-07103970,"COLORADO SPRINGS,CO",151,7.9,570,0.12,1.21,,,0.85,390,0.7,
USGS-01668000,"FREDERICKSBURG,VA",25,6.8,82,0.004,0.934,,,,,,
USGS-0167891721,"HAMPTON,VA",,,866,,,,,,,,
USGS-09380000,"LEES FERRY,AZ",232,8,655,,0.171,0.28,,,,1.5,
USGS-06332000,"WHITE EARTH,ND",408,8.1,2280,0.22,0.171,0.34,,,128,,
USGS-05090000,"GRAFTON,ND",637,8.1,1700,0.09,0.328,0.41,,10.4,,,
USGS-254107080165201,na,,,3100,,,,,,,,
USGS-390035121033201,na,,7.1,44,,0.04,,,,,,0.26
USGS-03072700,na,194,8.1,755,0.06,,,,4.8,410,,
USGS-10109000,"LOGAN,UT",,,364,,,,,,,,
USGS-06349500,"MENOKEN,ND",466,7.8,2040,,,0.39,,,,,
USGS-343259111510500,na,,,559,,,,,,,,
USGS-395223086214201,na,408,7.9,1040,,0.218,0.23,,,,,
USGS-09326500,"FERRON,UT",,,654,,,,,,,,
USGS-04175748,"CADMUS,MI",,,,0.04,2.26,,,,,,
USGS-253831080180204,na,,,16900,,,,,,,,
USGS-04264331,na,123,8,304,,0.319,0.11,,,,0.8,
USGS-10302025,"WALKER LAKE,NV",,8.7,,,,,,,,,
USGS-04067500,"MC ALLISTER,WI",,8,295,,0.215,,,,,,
USGS-07014500,"SULLIVAN,MO",,8,320,,0.199,,,,,,
USGS-03303280,"CANNELTON,IN",108,7.7,293,0.03,1.13,0.1,,,78,0.41,
USGS-02042500,"PROVIDENCE FORGE,VA",17,6.8,77,,0.07,,,,,,
USGS-06926510,"OSAGE RIVER BELOW ST THOMAS,MO",,7.4,290,,0.243,,,,,,
USGS-02054750,"ROANOKE,VA",,8.3,252,,,,,,,,
USGS-10023000,"RANDOLPH,UT",,,463,,,,,,,,
USGS-041843678,"MORENCI,MI",,,,0.03,2.09,,,,,,
USGS-254341080174001,na,,,643,,,,,,,,
USGS-08042548,na,,8.1,190,0.06,,,,,,,
USGS-11448750,"LAKEPORT,CA",,7,192,,0.784,,,,,,
USGS-01573695,"BELLAIRE,PA",102,8,280,0.05,3.5,,,1.19,170,,
USGS-381601104355801,na,,8.2,1200,,,,,,,,
USGS-385124104501301,na,,8,1150,,,,,,,,
USEPA-344916103190001,na,209,7.5,525,,4.93,0.77,,1.6,5.3,2.9,
USGS-02035000,"CARTERSVILLE,VA",47,7.3,126,0.012,0.369,,,,,,
USGS-433002113021701,na,,7.9,403,,,,,,,,
USGS-255639080100402,na,,,3840,,,,,,,,
USGS-390016121015901,na,,7.5,136,,0.43,,,,,,0.03
USGS-342953111485500,na,,,619,,,,,,,,
USGS-01667500,"CULPEPER,VA",21,6.8,70,,1.1,,,,,,
USGS-05586745,"SUMMERVILLE,IL",,,632,,2.02,,,,,,
USGS-04253294,"INLET,NY",,5.6,13,,,,,,,,
USGS-255733080195602,na,,,1010,,,,,,,,
USGS-05515500,"DAVIS,IN",,8,685,0.09,1.56,,,,,,
USGS-10336660,"TAHOE CITY,CA",,,79,,0.002,,,,,,
USGS-06741520,na,,7.7,1180,0.73,1.65,,,,,,
USGS-01576007,"STRICKLER,PA",,,,,8.72,,,,,,
USGS-02338523,"FRANKLIN,GA",7.43,5.7,25,,0.15,0.03,,,,,
USGS-413612087201301,na,,,805,,,,,,,,
USGS-0204288786,"CHESAPEAKE,VA",,,247,,,,,,,,
USGS-07105530,"FOUNTAIN CR BLW JANITELL RD BLW COLO SPRINGS,CO",207,8.2,783,0.09,5.7,,,2.2,182,0.47,
USGS-344232111590400,na,,,596,,,,,,,,
USGS-09522005,na,351,8,1280,0.08,0.343,0.44,,,,,
USGS-07104905,"COLO SPRINGS,CO",221,8.1,863,0.11,5,,,1.7,159,0.52,
USGS-401727105400000,AN,4.98,6.9,21,,0.38,,,,,,
USGS-01544149,na,25,6.8,72,,,,,,100,,
USGS-10133980,"MORGAN, U",,,1140,,,,,,,,
USGS-07105600,"COLORADO SPRINGS,CO",,8.2,1300,0.06,,,,,,,
USGS-390936122551901,na,,7.7,255,,0.782,,,,,,
USGS-342418103180601,na,263,7.5,690,,8.02,2.01,,3.2,71.9,2.4,
USGS-04199500,"VERMILION,OH",,8.2,580,,1.99,,,,,,
USGS-420219121474500,na,,7.7,690,0.08,0.856,,,,,,
USGS-07103707,na,152,8,456,0.04,,,,1.1,212,0.56,
USGS-05427880,"WAUNAKEE,WI",,,,0.2,6.79,,,,,,
USGS-252947080235301,na,,,567,,,,,,,,
USGS-391800120270001,na,16.2,9.1,142,,,0.08,,,,11.4,
USGS-10155500,"CHARLESTON,UT",,,287,,,,,,,,
USGS-253948080250701,na,,,510,,,,,,,,
USGS-11501000,"CHILOQUIN,OR",,7.8,104,,,,,,,,
USGS-344555112020900,na,,,535,,,,,,,,
USGS-07381600,"MORGAN CITY,LA",75.7,7.6,218,0.04,0.47,0.08,,,216,0.78,
USGS-300138090064700,na,,7.6,4580,,0.096,,,,,,
USGS-11455478,na,,,,0.12,0.44,,,,,,
USGS-04085427,"MANITOWOC,WI",,,809,,3.73,,,,,,
USGS-10343500,"TRUCKEE,CA",52,8,122,,0.02,0.02,,,,,
USGS-320302106253101,na,172,8,977,,1.44,0.48,,1.1,,6.9,
USGS-401733105392404,TH,,,34,,,,,,,,
USGS-01543693,"WHARTON TOWNSHIP,PA",15,6.7,40,,,,,,,,
USGS-06898800,na,,7.8,509,0.03,0.163,,,,,,
USGS-01555210,na,86,7.5,197,,,,,4.52,180,,
USGS-10020300,"WOODRUFF,UT",,,423,,,,,,,,
USGS-255415080114402,na,,,730,,,,,,,,
USGS-253924080174602,na,,,3370,,,,,,,,
USGS-02258800,"OKEECHOBEE,FL",,,297,,0.27,,,,,,
USGS-424129077495502,"NY-TL2 ALFRED TILE EDGE OF FIELD, S",,,,0.02,7.3,,,,,,
USGS-02480345,"WHITE PLAINS,MS",,,28,,,,,,,,
USGS-374955122313301,na,,,,,,,,,,,
USGS-0167889257,"HAMPTON,VA",,,302,,,,,,,,
USGS-261122080083401,na,,,503,,,,,,,,
USGS-06610000,"OMAHA,NE",,,886,,,,,,,,
USGS-03075070,"ELIZABETH,PA",76,7.6,222,0.03,,,,,620,,
USGS-03070470,na,25,6.8,73,,0.2,,,,,,
USGS-373813118585401,na,89.6,7.3,237,,,0.25,,,8.2,5.2,
USGS-10039500,"BORDER,WY",,,534,,,,,,,,
USGS-05517010,na,,,723,,,,,,,,
USGS-01585075,"JOPPATOWNE,MD",,,253,0.07,0.482,,,,,,
USGS-10166430,"CEDAR FORT,UT",,,583,,,,,,,,
USGS-09217010,na,,8.1,545,0.04,,,,,,,
USGS-253710080184701,na,,,4560,,,,,,,,
USGS-373748118585201,na,106,7.4,292,,0.143,0.45,,,,15.7,
USGS-05514500,"TROY,MO",,7.7,403,,0.645,,,,,,
USGS-13063000,"HENRY,ID",,7.7,398,,,,,,,,
USGS-02234600,na,,7.5,374,,1.47,,,,,,
USGS-333317116411501,na,228,7.4,681,,0.48,0.66,,,324,0.75,
USGS-343425111511200,na,,,564,,,,,,,,
USGS-255116080120601,na,,,16200,,,,,,,,
USGS-07191160,"MAYSVILLE,AR",,7.5,270,,3.8,,,,,,
USGS-09081000,"EMMA,CO",,8.3,450,,0.18,,,,,,
USGS-09337000,"ESCALANTE,UT",,,353,,,,,,,,
USGS-383347104373401,na,,7.6,1820,0.05,,,,,,,
USGS-01613030,"BERKELEY SPRINGS,WV",,8,309,,0.4,,,,,,
USGS-255733080195603,na,,,489,,,,,,,,
USGS-09085150,na,252,8.2,1540,,0.29,0.26,,,,0.4,
USGS-344742112033100,na,,,502,,,,,,,,
USGS-05517000,"KNOX,IN",,,726,,,,,,,,
USGS-391500121030001,na,126,6.5,291,,0.41,0.08,,3.9,,0.12,
USGS-06734900,na,25.1,7.5,60,0.002,0.032,,,0.6,71.6,0.19,
USGS-13092747,"TWIN FALLS,ID",,8,759,0.05,3.21,0.81,,,,,
USGS-14206950,"DURHAM,OR",32.8,6.8,92,0.02,0.79,0.06,,2.7,557,0.82,
USGS-10336698,"CRYSTAL BAY,NV",,,68,,,,,,,,
USGS-07103990,"PIKEVIEW,CO",,8.2,1290,,4.87,,,,,,
USGS-10146000,"NEPHI,UT",,,1410,,,,,,,,
USGS-344228111584300,na,,,591,,,,,,,,
USGS-10217000,"GUNNISON,UT",,,1080,,,,,,,,
USGS-260101080100801,na,,,2940,,,,,,,,
USGS-03072000,"SHANNOPIN,PA",133,8,377,,,,,,270,,
USGS-373833118590801,na,151,6.4,411,,,0.47,,,387,5.5,
USGS-373751122143601,na,,,,0.44,0.616,,,,,,
USGS-441729073571801,LK,97.5,,2260,,,,,,,,
USGS-253924080174601,na,,,11600,,,,,,,,
USGS-05538020,"ROCKDALE,IL",,7.2,1960,,,,,,,,
USGS-10172952,"PARK VALLEY,UT",,,228,,,,,,,,
USGS-09211200,"GREEN RIVER BELOW FONTENELLE RESERVOIR,WY",,8.2,435,,,,,,,,
USGS-254946080172601,na,,,658,,,,,,,,
USGS-0204279294,"NEWPORT NEWS,VA",,,197,,,,,,,,
USGS-10020100,"WOODRUFF,UT",,,614,,,,,,,,
USGS-07288955,"LONG LAKE,MS",28.3,7.3,85,0.08,0.417,0.07,,,283,0.94,
USGS-342847111484300,na,,,639,,,,,,,,
USGS-07373420,na,121,7.5,316,0.02,0.84,0.1,,,1900,1.3,
USGS-01614000,"JONES SPRINGS,WV",,7.8,165,,0.7,,,,,,
USGS-254833080155801,na,,,6900,,,,,,,,
USGS-07105500,"COLORADO SPRINGS,CO",223,8,785,0.08,3.5,,,1.3,193,0.62,
